WILAYA,Herbaceous Crops
ADRAR,24702
CHLEF,134841
LAGHOUAT,44017
OUM EL BOUAGHI,234118
BATNA,189135
BEJAIA,14464
BISKRA,61484
BECHAR,3255
BLIDA,15618
BOUIRA,86288
TAMANRASSET,3322
TEBESSA,197698
TLEMCEN,234494
TIARET,405690
TIZI OUZOU,26251
ALGIERS,11704
DJELFA,115274
JIJEL,9596
SETIF,230851
SAIDA,150607
SKIKDA,84356
SIDI BEL ABBES,206998
ANNABA,31442
GUELMA,118370
CONSTANTINE,114017
MEDEA,170361
MOSTAGANEM,94046
M'SILA,102185
MASCARA,206168
OUARGLA,5643
ORAN,65444
EL BAYADH,22342
ILLIZI,651
BORDJ BOU ARRERIDJ,86062
BOUMERDES,29028
EL TARF,39708
TINDOUF,173
TISSEMSILT,91322
EL OUED,47379
KHENCHELA,127607
SOUK AHRAS,175525
TIPAZA,38936
MILA,137033
AIN DEFLA,133621
NAAMA,9442
AIN TEMOUCHENT,142026
GHARDAIA,13872
RELIZANE,194863

